,,Número de sucessos,,,,,,,,,,Número de sucessos,,,,,,,,,
Número de d20,DT do dado,≥1 (=1),≥2 (=2),≥3 (=3),≥4 (=4),≥5 (=5),≥6 (=6),≥7 (=7),≥8 (=8),≥9 (=9),≥10 (=10),DT do dado,≥1 (=1),≥2 (=2),≥3 (=3),≥4 (=4),≥5 (=5),≥6 (=6),≥7 (=7),≥8 (=8),≥9 (=9),≥10 (=10)
13,,96.37% (05.61%),90.76% (09.99%),80.77% (14.30%),66.48% (16.75%),49.73% (16.31%),33.42% (13.39%),20.03% (09.37%),10.66% (05.63%),05.03% (02.93%),02.10% (01.33%),,97.93% (03.55%),94.37% (07.03%),87.34% (11.34%),76.00% (15.07%),60.93% (16.66%),44.27% (15.47%),28.81% (12.16%),16.64% (08.15%),08.49% (04.68%),03.81% (02.31%)
14,,97.00% (04.65%),92.35% (08.51%),83.84% (12.69%),71.14% (15.65%),55.49% (16.20%),39.30% (14.23%),25.06% (10.73%),14.33% (07.00%),07.33% (03.98%),03.34% (01.98%),,98.35% (02.84%),95.51% (05.75%),89.76% (09.63%),80.13% (13.44%),66.69% (15.77%),50.92% (15.70%),35.22% (13.34%),21.87% (09.75%),12.13% (06.15%),05.98% (03.37%)
15,,97.52% (03.87%),93.65% (07.24%),86.41% (11.18%),75.23% (14.43%),60.80% (15.76%),45.04% (14.72%),30.32% (11.87%),18.45% (08.33%),10.11% (05.13%),04.99% (02.78%),,98.69% (02.27%),96.42% (04.70%),91.72% (08.12%),83.60% (11.84%),71.76% (14.65%),57.11% (15.49%),41.62% (14.11%),27.51% (11.12%),16.38% (07.63%),08.75% (04.57%)
16,,97.94% (03.21%),94.73% (06.15%),88.58% (09.80%),78.78% (13.17%),65.62% (15.08%),50.54% (14.87%),35.66% (12.74%),22.92% (09.55%),13.37% (06.31%),07.06% (03.69%),,98.95% (01.82%),97.14% (03.83%),93.31% (06.82%),86.49% (10.32%),76.17% (13.38%),62.79% (14.95%),47.84% (14.47%),33.37% (12.21%),21.16% (09.02%),12.13% (05.86%)
17,,98.29% (02.68%),95.62% (05.21%),90.40% (08.54%),81.86% (11.90%),69.96% (14.23%),55.73% (14.74%),40.99% (13.34%),27.65% (10.61%),17.03% (07.47%),09.56% (04.68%),,99.16% (01.45%),97.71% (03.12%),94.59% (05.70%),88.89% (08.92%),79.97% (12.06%),67.91% (14.14%),53.77% (14.47%),39.30% (12.98%),26.32% (10.25%),16.06% (07.16%)
18,,98.58% (02.23%),96.35% (04.41%),91.94% (07.42%),84.52% (10.67%),73.84% (13.27%),60.57% (14.38%),46.19% (13.67%),32.52% (11.48%),21.04% (08.57%),12.47% (05.71%),,99.33% (01.17%),98.16% (02.54%),95.62% (04.74%),90.88% (07.66%),83.22% (10.75%),72.47% (13.17%),59.30% (14.16%),45.14% (13.42%),31.72% (11.26%),20.45% (08.40%)
1,12,45.00% (40.00%),05.00% (05.00%),,,,,,,,,11,50.00% (45.00%),05.00% (05.00%),,,,,,,,
2,,65.75% (40.50%),25.25% (21.00%),04.25% (04.00%),00.25% (00.25%),,,,,,,,70.50% (41.00%),29.50% (24.75%),04.75% (04.50%),00.25% (00.25%),,,,,,
3,,77.03% (33.15%),43.88% (28.35%),15.53% (12.44%),03.09% (02.78%),00.31% (00.30%),00.01% (00.01%),,,,,,81.05% (31.05%),50.00% (31.05%),18.95% (15.22%),03.73% (03.38%),00.35% (00.34%),00.01% (00.01%),,,,
4,,83.91% (25.61%),58.30% (28.98%),29.32% (19.36%),09.96% (07.80%),02.17% (01.88%),00.29% (00.27%),00.02% (00.02%),,,,,87.28% (22.55%),64.73% (29.47%),35.27% (22.55%),12.72% (09.94%),02.78% (02.43%),00.35% (00.33%),00.02% (00.02%),,,
5,,88.44% (19.44%),69.01% (26.33%),42.67% (22.94%),19.73% (13.18%),06.55% (05.04%),01.51% (01.28%),00.23% (00.21%),00.02% (00.02%),,,,91.24% (16.21%),75.03% (25.03%),50.00% (25.03%),24.97% (16.21%),08.76% (06.71%),02.05% (01.74%),00.31% (00.28%),00.03% (00.03%),,
6,,91.56% (14.68%),76.88% (22.53%),54.35% (23.63%),30.71% (17.34%),13.38% (09.00%),04.37% (03.32%),01.05% (00.87%),00.18% (00.16%),00.02% (00.02%),,,93.87% (11.65%),82.22% (20.15%),62.07% (24.15%),37.93% (20.15%),17.78% (11.65%),06.13% (04.63%),01.50% (01.25%),00.25% (00.22%),00.03% (00.03%),
7,,93.76% (11.09%),82.67% (18.64%),64.04% (22.43%),41.61% (19.70%),21.91% (12.78%),09.13% (06.17%),02.95% (02.22%),00.73% (00.59%),00.14% (00.12%),00.02% (00.02%),,95.67% (08.40%),87.27% (15.75%),71.52% (21.52%),50.00% (21.52%),28.48% (15.75%),12.73% (08.40%),04.33% (03.24%),01.10% (00.89%),00.20% (00.18%),00.03% (00.02%)
8,,95.35% (08.39%),86.96% (15.11%),71.86% (20.21%),51.65% (20.39%),31.26% (15.70%),15.55% (09.30%),06.26% (04.25%),02.01% (01.50%),00.51% (00.41%),00.10% (00.08%),,96.91% (06.07%),90.84% (12.10%),78.74% (18.27%),60.47% (20.95%),39.53% (18.27%),21.26% (12.10%),09.16% (06.07%),03.09% (02.29%),00.80% (00.64%),00.16% (00.13%)
9,,96.52% (06.36%),90.15% (12.09%),78.06% (17.59%),60.48% (19.82%),40.66% (17.48%),23.18% (12.16%),11.01% (06.70%),04.31% (02.94%),01.38% (01.02%),00.35% (00.28%),,97.78% (04.40%),93.39% (09.20%),84.18% (15.02%),69.16% (19.16%),50.00% (19.16%),30.84% (15.02%),15.82% (09.20%),06.61% (04.40%),02.22% (01.63%),00.59% (00.47%)
10,,97.38% (04.84%),92.54% (09.60%),82.94% (14.94%),68.00% (18.42%),49.58% (18.16%),31.43% (14.40%),17.03% (09.24%),07.79% (04.81%),02.98% (02.03%),00.95% (00.70%),,98.40% (03.20%),95.21% (06.95%),88.25% (12.08%),76.18% (16.80%),59.37% (18.75%),40.63% (16.80%),23.82% (12.08%),11.75% (06.95%),04.79% (03.20%),01.60% (01.17%)
11,,98.01% (03.68%),94.33% (07.57%),86.76% (12.47%),74.29% (16.57%),57.71% (17.91%),39.80% (15.85%),23.95% (11.53%),12.42% (06.92%),05.50% (03.44%),02.07% (01.41%),,98.84% (02.33%),96.51% (05.23%),91.29% (09.56%),81.72% (14.28%),67.44% (17.44%),50.00% (17.44%),32.56% (14.28%),18.28% (09.56%),08.71% (05.23%),03.49% (02.33%)
12,,98.49% (02.81%),95.68% (05.96%),89.73% (10.28%),79.45% (14.55%),64.90% (17.00%),47.89% (16.49%),31.40% (13.34%),18.06% (09.04%),09.02% (05.13%),03.89% (02.45%),,99.16% (01.70%),97.46% (03.92%),93.54% (07.49%),86.05% (11.86%),74.19% (15.63%),58.56% (17.13%),41.44% (15.63%),25.81% (11.86%),13.95% (07.49%),06.46% (03.92%)
13,,98.85% (02.15%),96.70% (04.67%),92.03% (08.39%),83.64% (12.53%),71.11% (15.66%),55.45% (16.44%),39.01% (14.57%),24.44% (10.94%),13.50% (06.97%),06.53% (03.78%),,99.39% (01.24%),98.14% (02.93%),95.21% (05.81%),89.40% (09.69%),79.71% (13.60%),66.11% (16.11%),50.00% (16.11%),33.89% (13.60%),20.29% (09.69%),10.60% (05.81%)
14,,99.12% (01.65%),97.48% (03.66%),93.82% (06.80%),87.02% (10.64%),76.39% (14.09%),62.30% (15.84%),46.46% (15.19%),31.27% (12.47%),18.80% (08.78%),10.02% (05.31%),,99.55% (00.91%),98.64% (02.19%),96.45% (04.48%),91.97% (07.80%),84.17% (11.57%),72.59% (14.66%),57.93% (15.86%),42.07% (14.66%),27.41% (11.57%),15.83% (07.80%)
15,,99.33% (01.26%),98.07% (02.86%),95.21% (05.48%),89.73% (08.93%),80.81% (12.43%),68.38% (14.85%),53.53% (15.26%),38.27% (13.54%),24.73% (10.40%),14.33% (06.93%),,99.67% (00.67%),99.00% (01.64%),97.37% (03.44%),93.93% (06.22%),87.71% (09.68%),78.04% (12.99%),65.05% (15.05%),50.00% (15.05%),34.95% (12.99%),21.96% (09.68%)
16,,99.49% (00.97%),98.52% (02.23%),96.28% (04.39%),91.89% (07.42%),84.48% (10.80%),73.68% (13.60%),60.07% (14.87%),45.20% (14.14%),31.07% (11.73%),19.34% (08.50%),,99.76% (00.49%),99.27% (01.22%),98.05% (02.63%),95.42% (04.91%),90.51% (07.97%),82.53% (11.26%),71.27% (13.85%),57.42% (14.84%),42.58% (13.85%),28.73% (11.26%)
17,,99.61% (00.75%),98.86% (01.74%),97.12% (03.51%),93.61% (06.12%),87.49% (09.27%),78.23% (12.24%),65.99% (14.12%),51.87% (14.28%),37.59% (12.69%),24.90% (09.92%),,99.82% (00.36%),99.46% (00.91%),98.55% (02.00%),96.55% (03.85%),92.70% (06.49%),86.20% (09.59%),76.61% (12.44%),64.17% (14.17%),50.00% (14.17%),35.83% (12.44%)
18,,99.70% (00.58%),99.12% (01.36%),97.76% (02.79%),94.97% (05.01%),89.96% (07.87%),82.09% (10.84%),71.25% (13.13%),58.12% (14.04%),44.09% (13.26%),30.83% (11.09%),,99.87% (00.27%),99.60% (00.68%),98.92% (01.52%),97.40% (03.00%),94.40% (05.23%),89.16% (08.05%),81.11% (10.95%),70.16% (13.16%),57.00% (13.99%),43.00% (13.16%)
1,10,55.00% (50.00%),05.00% (05.00%),,,,,,,,,9,60.00% (55.00%),05.00% (05.00%),,,,,,,,
2,,74.75% (40.50%),34.25% (29.00%),05.25% (05.00%),00.25% (00.25%),,,,,,,,78.50% (39.00%),39.50% (33.75%),05.75% (05.50%),00.25% (00.25%),,,,,,
3,,84.48% (28.35%),56.13% (33.15%),22.98% (18.54%),04.44% (04.05%),00.39% (00.38%),00.01% (00.01%),,,,,,87.38% (25.28%),62.10% (34.42%),27.68% (22.45%),05.23% (04.80%),00.43% (00.41%),00.01% (00.01%),,,,
4,,90.04% (19.36%),70.68% (28.98%),41.70% (25.61%),16.09% (12.57%),03.52% (03.10%),00.42% (00.40%),00.03% (00.03%),,,,,92.28% (16.23%),76.05% (27.58%),48.47% (28.30%),20.18% (15.77%),04.41% (03.91%),00.50% (00.47%),00.03% (00.03%),,,
5,,93.45% (13.18%),80.27% (22.94%),57.33% (26.33%),30.99% (19.44%),11.56% (08.82%),02.74% (02.34%),00.40% (00.36%),00.03% (00.03%),,,,95.17% (10.46%),84.71% (20.30%),64.41% (26.67%),37.74% (22.66%),15.09% (11.48%),03.61% (03.10%),00.50% (00.46%),00.04% (00.04%),,
6,,95.63% (09.00%),86.62% (17.34%),69.29% (23.63%),45.65% (22.53%),23.12% (14.68%),08.44% (06.34%),02.11% (01.76%),00.35% (00.31%),00.04% (00.04%),,,96.93% (06.77%),90.16% (14.38%),75.78% (22.15%),53.63% (24.19%),29.44% (17.97%),11.47% (08.56%),02.92% (02.45%),00.47% (00.42%),00.05% (00.05%),
7,,97.05% (06.17%),90.87% (12.78%),78.09% (19.70%),58.39% (22.43%),35.96% (18.64%),17.33% (11.09%),06.24% (04.62%),01.62% (01.32%),00.29% (00.26%),00.04% (00.03%),,98.03% (04.41%),93.62% (09.98%),83.64% (17.21%),66.43% (22.27%),44.16% (21.13%),23.04% (14.21%),08.83% (06.48%),02.35% (01.92%),00.42% (00.37%),00.05% (00.05%)
8,,97.99% (04.25%),93.74% (09.30%),84.45% (15.70%),68.74% (20.39%),48.35% (20.21%),28.14% (15.11%),13.04% (08.39%),04.65% (03.41%),01.24% (01.00%),00.24% (00.21%),,98.73% (02.88%),95.84% (06.85%),88.99% (12.85%),76.14% (18.81%),57.33% (21.21%),36.11% (18.03%),18.08% (11.24%),06.85% (04.97%),01.88% (01.51%),00.37% (00.32%)
9,,98.62% (02.94%),95.69% (06.70%),88.99% (12.16%),76.82% (17.48%),59.34% (19.82%),39.52% (17.59%),21.94% (12.09%),09.85% (06.36%),03.48% (02.53%),00.95% (00.75%),,99.17% (01.89%),97.28% (04.67%),92.60% (09.35%),83.25% (15.05%),68.20% (19.32%),48.88% (19.48%),29.40% (15.16%),14.24% (08.90%),05.35% (03.84%),01.51% (01.19%)
10,,99.05% (02.03%),97.02% (04.81%),92.21% (09.24%),82.97% (14.40%),68.57% (18.16%),50.42% (18.42%),32.00% (14.94%),17.06% (09.60%),07.46% (04.84%),02.62% (01.89%),,99.46% (01.25%),98.21% (03.18%),95.04% (06.69%),88.34% (11.61%),76.73% (16.48%),60.25% (18.95%),41.30% (17.43%),23.87% (12.62%),11.25% (07.05%),04.20% (02.99%)
11,,99.35% (01.41%),97.93% (03.44%),94.50% (06.92%),87.58% (11.53%),76.05% (15.85%),60.20% (17.91%),42.29% (16.57%),25.71% (12.47%),13.24% (07.57%),05.67% (03.68%),,99.64% (00.82%),98.82% (02.15%),96.67% (04.73%),91.94% (08.73%),83.21% (13.44%),69.77% (17.15%),52.62% (17.98%),34.64% (15.30%),19.34% (10.43%),08.91% (05.60%)
12,,99.55% (00.98%),98.56% (02.45%),96.11% (05.13%),90.98% (09.04%),81.94% (13.34%),68.60% (16.49%),52.11% (17.00%),35.10% (14.55%),20.55% (10.28%),10.27% (05.96%),,99.76% (00.54%),99.22% (01.46%),97.76% (03.32%),94.45% (06.44%),88.01% (10.60%),77.41% (14.73%),62.69% (17.16%),45.52% (16.62%),28.90% (13.25%),15.65% (08.58%)
13,,99.68% (00.69%),99.00% (01.75%),97.25% (03.78%),93.47% (06.97%),86.50% (10.94%),75.56% (14.57%),60.99% (16.44%),44.55% (15.66%),28.89% (12.53%),16.36% (08.39%),,99.84% (00.36%),99.48% (00.98%),98.50% (02.31%),96.19% (04.68%),91.51% (08.15%),83.36% (12.16%),71.19% (15.47%),55.73% (16.66%),39.07% (15.07%),24.00% (11.34%)
14,,99.78% (00.48%),99.30% (01.24%),98.06% (02.77%),95.29% (05.31%),89.98% (08.78%),81.20% (12.47%),68.73% (15.19%),53.54% (15.84%),37.70% (14.09%),23.61% (10.64%),,99.90% (00.24%),99.66% (00.66%),98.99% (01.60%),97.39% (03.37%),94.02% (06.15%),87.87% (09.75%),78.13% (13.34%),64.78% (15.70%),49.08% (15.77%),33.31% (13.44%)
15,,99.85% (00.34%),99.51% (00.88%),98.63% (02.02%),96.61% (04.01%),92.60% (06.93%),85.67% (10.40%),75.27% (13.54%),61.73% (15.26%),46.47% (14.85%),31.62% (12.43%),,99.93% (00.16%),99.77% (00.45%),99.32% (01.11%),98.22% (02.40%),95.82% (04.57%),91.25% (07.63%),83.62% (11.12%),72.49% (14.11%),58.38% (15.49%),42.89% (14.65%)
16,,99.89% (00.24%),99.66% (00.63%),99.03% (01.47%),97.56% (03.00%),94.56% (05.40%),89.16% (08.50%),80.66% (11.73%),68.93% (14.14%),54.80% (14.87%),39.93% (13.60%),,99.95% (00.11%),99.85% (00.30%),99.54% (00.76%),98.78% (01.70%),97.08% (03.36%),93.73% (05.86%),87.87% (09.02%),78.84% (12.21%),66.63% (14.47%),52.16% (14.95%)
17,,99.92% (00.17%),99.76% (00.45%),99.31% (01.06%),98.25% (02.24%),96.01% (04.16%),91.85% (06.84%),85.02% (09.92%),75.10% (12.69%),62.41% (14.28%),48.13% (14.12%),,99.97% (00.07%),99.90% (00.20%),99.69% (00.52%),99.17% (01.20%),97.97% (02.44%),95.53% (04.43%),91.10% (07.16%),83.94% (10.25%),73.68% (12.98%),60.70% (14.47%)
18,,99.95% (00.12%),99.83% (00.32%),99.51% (00.77%),98.74% (01.66%),97.09% (03.18%),93.91% (05.42%),88.49% (08.23%),80.26% (11.09%),69.17% (13.26%),55.91% (14.04%),,99.98% (00.05%),99.93% (00.14%),99.79% (00.36%),99.43% (00.84%),98.60% (01.76%),96.83% (03.31%),93.52% (05.58%),87.94% (08.40%),79.55% (11.26%),68.28% (13.42%)
1,8,65.00% (60.00%),05.00% (05.00%),,,,,,,,,7,70.00% (65.00%),05.00% (05.00%),,,,,,,,
2,,81.75% (36.50%),45.25% (39.00%),06.25% (06.00%),00.25% (00.25%),,,,,,,,84.50% (33.00%),51.50% (44.75%),06.75% (06.50%),00.25% (00.25%),,,,,,
3,,89.83% (22.05%),67.78% (34.65%),33.12% (27.04%),06.09% (05.62%),00.46% (00.45%),00.01% (00.01%),,,,,,91.90% (18.90%),73.00% (33.60%),39.40% (32.38%),07.03% (06.53%),00.50% (00.49%),00.01% (00.01%),,,,
4,,94.10% (13.32%),80.78% (25.38%),55.40% (30.29%),25.11% (19.66%),05.45% (04.86%),00.59% (00.56%),00.03% (00.03%),,,,,95.56% (10.69%),84.87% (22.63%),62.25% (31.21%),31.04% (24.38%),06.66% (05.98%),00.68% (00.65%),00.03% (00.03%),,,
5,,96.50% (08.10%),88.40% (17.35%),71.05% (25.97%),45.08% (25.58%),19.50% (14.80%),04.70% (04.07%),00.63% (00.59%),00.05% (00.05%),,,,97.51% (06.12%),91.40% (14.34%),77.06% (24.26%),52.80% (27.81%),24.99% (18.93%),06.05% (05.27%),00.78% (00.73%),00.06% (00.05%),,
6,,97.89% (04.96%),92.94% (11.50%),81.44% (19.89%),61.55% (24.86%),36.69% (21.29%),15.40% (11.41%),03.99% (03.36%),00.63% (00.57%),00.06% (00.06%),,,98.59% (03.53%),95.06% (08.87%),86.19% (17.08%),69.11% (24.39%),44.72% (24.29%),20.44% (15.05%),05.38% (04.56%),00.83% (00.75%),00.08% (00.07%),
7,,98.72% (03.05%),95.67% (07.50%),88.16% (14.36%),73.81% (21.03%),52.78% (22.87%),29.91% (17.61%),12.30% (08.95%),03.35% (02.76%),00.60% (00.53%),00.07% (00.06%),,99.19% (02.05%),97.14% (05.42%),91.72% (11.43%),80.29% (18.86%),61.43% (23.53%),37.90% (21.00%),16.91% (12.17%),04.73% (03.91%),00.82% (00.73%),00.09% (00.09%)
8,,99.21% (01.89%),97.32% (04.85%),92.47% (10.01%),82.46% (16.44%),66.02% (21.08%),44.95% (20.50%),24.44% (14.53%),09.91% (07.10%),02.81% (02.26%),00.55% (00.47%),,99.53% (01.20%),98.33% (03.29%),95.04% (07.43%),87.62% (13.59%),74.03% (19.76%),54.27% (22.09%),32.17% (18.06%),14.11% (09.98%),04.13% (03.34%),00.80% (00.69%)
9,,99.51% (01.17%),98.34% (03.12%),95.22% (06.83%),88.39% (12.24%),76.16% (17.71%),58.44% (20.35%),38.10% (18.07%),20.03% (11.99%),08.04% (05.69%),02.35% (01.86%),,99.73% (00.70%),99.02% (01.99%),97.04% (04.73%),92.30% (09.38%),82.92% (15.25%),67.67% (19.95%),47.72% (20.36%),27.36% (15.51%),11.85% (08.26%),03.59% (02.84%)
10,,99.70% (00.73%),98.97% (02.00%),96.97% (04.59%),92.37% (08.81%),83.56% (14.01%),69.55% (18.25%),51.30% (19.11%),32.19% (15.74%),16.45% (09.90%),06.55% (04.59%),,99.84% (00.41%),99.43% (01.20%),98.23% (02.98%),95.25% (06.28%),88.96% (11.14%),77.82% (16.39%),61.43% (19.60%),41.83% (18.52%),23.31% (13.30%),10.01% (06.89%)
11,,99.81% (00.46%),99.35% (01.28%),98.07% (03.05%),95.02% (06.20%),88.82% (10.63%),78.19% (15.28%),62.91% (18.17%),44.74% (17.60%),27.14% (13.60%),13.54% (08.18%),,99.91% (00.24%),99.66% (00.72%),98.94% (01.86%),97.08% (04.13%),92.95% (07.84%),85.11% (12.63%),72.48% (17.03%),55.45% (18.85%),36.59% (16.69%),19.90% (11.42%)
12,,99.88% (00.29%),99.59% (00.82%),98.78% (02.02%),96.76% (04.29%),92.47% (07.83%),84.64% (12.18%),72.46% (16.03%),56.43% (17.62%),38.81% (15.95%),22.85% (11.68%),,99.94% (00.14%),99.80% (00.44%),99.36% (01.15%),98.21% (02.67%),95.54% (05.37%),90.18% (09.31%),80.86% (13.81%),67.06% (17.25%),49.81% (17.85%),31.96% (14.93%)
13,,99.93% (00.18%),99.75% (00.52%),99.22% (01.33%),97.90% (02.93%),94.97% (05.63%),89.34% (09.37%),79.97% (13.39%),66.58% (16.31%),50.27% (16.75%),33.52% (14.30%),,99.97% (00.09%),99.88% (00.26%),99.62% (00.71%),98.91% (01.71%),97.20% (03.60%),93.60% (06.64%),86.96% (10.63%),76.33% (14.64%),61.68% (17.11%),44.57% (16.69%)
14,,99.95% (00.11%),99.84% (00.33%),99.50% (00.87%),98.64% (01.98%),96.66% (03.98%),92.67% (07.00%),85.67% (10.73%),74.94% (14.23%),60.70% (16.20%),44.51% (15.65%),,99.98% (00.05%),99.93% (00.16%),99.77% (00.44%),99.33% (01.08%),98.25% (02.38%),95.87% (04.62%),91.26% (07.89%),83.37% (11.76%),71.61% (15.16%),56.45% (16.69%)
15,,99.97% (00.07%),99.90% (00.21%),99.68% (00.57%),99.12% (01.33%),97.79% (02.78%),95.01% (05.13%),89.89% (08.33%),81.55% (11.87%),69.68% (14.72%),54.96% (15.76%),,99.99% (00.03%),99.96% (00.10%),99.86% (00.27%),99.59% (00.68%),98.91% (01.55%),97.36% (03.15%),94.21% (05.68%),88.53% (09.06%),79.48% (12.66%),66.81% (15.39%)
16,,99.98% (00.05%),99.94% (00.14%),99.80% (00.37%),99.43% (00.89%),98.54% (01.92%),96.63% (03.69%),92.94% (06.31%),86.63% (09.55%),77.08% (12.74%),64.34% (14.87%),,99.99% (00.02%),99.97% (00.06%),99.92% (00.16%),99.75% (00.43%),99.32% (01.00%),98.32% (02.11%),96.21% (04.00%),92.21% (06.75%),85.47% (10.11%),75.36% (13.34%)
17,,99.99% (00.03%),99.96% (00.09%),99.87% (00.24%),99.63% (00.59%),99.04% (01.31%),97.73% (02.62%),95.12% (04.68%),90.44% (07.47%),82.97% (10.61%),72.35% (13.34%),,100.00% (00.01%),99.98% (00.03%),99.95% (00.10%),99.85% (00.27%),99.58% (00.64%),98.94% (01.40%),97.54% (02.76%),94.78% (04.89%),89.88% (07.78%),82.11% (11.01%)
18,,99.99% (00.02%),99.97% (00.06%),99.92% (00.16%),99.76% (00.39%),99.37% (00.89%),98.48% (01.83%),96.65% (03.41%),93.24% (05.71%),87.53% (08.57%),78.96% (11.48%),,100.00% (00.01%),99.99% (00.02%),99.97% (00.06%),99.91% (00.17%),99.74% (00.41%),99.33% (00.92%),98.41% (01.88%),96.54% (03.48%),93.06% (05.81%),87.24% (08.74%)
1,6,75.00% (70.00%),05.00% (05.00%),,,,,,,,,5,80.00% (75.00%),05.00% (05.00%),,,,,,,,
2,,86.75% (28.50%),58.25% (51.00%),07.25% (07.00%),00.25% (00.25%),,,,,,,,88.50% (23.00%),65.50% (57.75%),07.75% (07.50%),00.25% (00.25%),,,,,,
3,,93.67% (16.05%),77.62% (31.05%),46.57% (38.54%),08.04% (07.50%),00.54% (00.52%),00.01% (00.01%),,,,,,95.22% (13.72%),81.50% (26.77%),54.72% (45.60%),09.13% (08.55%),00.58% (00.56%),00.01% (00.01%),,,,
4,,96.71% (08.35%),88.36% (19.62%),68.74% (30.62%),38.12% (30.05%),08.06% (07.28%),00.78% (00.74%),00.04% (00.03%),,,,,97.58% (06.25%),91.33% (16.78%),74.55% (28.03%),46.52% (36.85%),09.67% (08.78%),00.89% (00.85%),00.04% (00.04%),,,
5,,98.27% (04.50%),93.77% (11.43%),82.34% (21.78%),60.56% (28.79%),31.77% (24.06%),07.71% (06.75%),00.96% (00.89%),00.06% (00.06%),,,,98.83% (03.24%),95.59% (08.71%),86.88% (18.94%),67.94% (27.83%),40.11% (30.40%),09.71% (08.56%),01.16% (01.08%),00.07% (00.07%),,
6,,99.08% (02.43%),96.64% (06.59%),90.05% (14.02%),76.03% (22.78%),53.25% (26.39%),26.86% (19.68%),07.18% (06.11%),01.07% (00.97%),00.09% (00.09%),,,99.41% (01.62%),97.80% (04.73%),93.06% (10.92%),82.14% (20.34%),61.80% (26.81%),34.99% (25.53%),09.47% (08.10%),01.36% (01.25%),00.11% (00.11%),00.01% (00.01%)
7,,99.50% (01.33%),98.17% (03.76%),94.42% (08.68%),85.73% (16.02%),69.72% (22.91%),46.81% (23.85%),22.95% (16.37%),06.59% (05.46%),01.13% (01.01%),00.12% (00.11%),,99.70% (00.83%),98.88% (02.49%),96.38% (06.29%),90.10% (12.82%),77.28% (21.10%),56.18% (25.36%),30.82% (21.76%),09.06% (07.55%),01.51% (01.36%),00.15% (00.14%)
8,,99.73% (00.73%),99.00% (02.13%),96.87% (05.23%),91.63% (10.61%),81.02% (17.42%),63.60% (22.43%),41.17% (21.39%),19.78% (13.79%),05.99% (04.85%),01.14% (01.00%),,99.85% (00.42%),99.43% (01.32%),98.10% (03.49%),94.61% (07.82%),86.79% (14.36%),72.43% (21.36%),51.08% (23.71%),27.36% (18.79%),08.57% (06.96%),01.61% (01.42%)
9,,99.85% (00.40%),99.45% (01.21%),98.24% (03.11%),95.13% (06.76%),88.37% (12.30%),76.07% (18.28%),57.79% (21.54%),36.25% (19.09%),17.16% (11.74%),05.42% (04.29%),,99.92% (00.22%),99.70% (00.70%),99.01% (01.93%),97.08% (04.58%),92.50% (09.26%),83.24% (15.55%),67.69% (21.23%),46.46% (22.02%),24.44% (16.39%),08.05% (06.38%)
10,,99.92% (00.22%),99.70% (00.68%),99.01% (01.83%),97.19% (04.20%),92.98% (08.26%),84.72% (13.68%),71.04% (18.67%),52.37% (20.40%),31.97% (17.01%),14.96% (10.08%),,99.96% (00.11%),99.85% (00.37%),99.48% (01.05%),98.43% (02.63%),95.80% (05.70%),90.10% (10.57%),79.54% (16.41%),63.12% (20.82%),42.30% (20.35%),21.94% (14.43%)
11,,99.95% (00.12%),99.83% (00.39%),99.45% (01.06%),98.38% (02.57%),95.81% (05.37%),90.44% (09.66%),80.78% (14.74%),66.04% (18.69%),47.35% (19.12%),28.23% (15.13%),,99.98% (00.06%),99.92% (00.19%),99.73% (00.57%),99.16% (01.49%),97.67% (03.41%),94.26% (06.81%),87.45% (11.71%),75.74% (16.98%),58.76% (20.21%),38.55% (18.76%)
12,,99.97% (00.07%),99.91% (00.22%),99.69% (00.62%),99.07% (01.55%),97.52% (03.41%),94.12% (06.56%),87.56% (10.92%),76.64% (15.50%),61.15% (18.40%),42.75% (17.78%),,99.99% (00.03%),99.96% (00.10%),99.86% (00.31%),99.55% (00.83%),98.72% (01.99%),96.72% (04.24%),92.49% (07.88%),84.60% (12.68%),71.92% (17.29%),54.63% (19.46%)
13,,99.99% (00.04%),99.95% (00.12%),99.82% (00.36%),99.47% (00.92%),98.54% (02.12%),96.42% (04.32%),92.10% (07.72%),84.38% (11.99%),72.39% (15.96%),56.43% (17.88%),,99.99% (00.02%),99.98% (00.05%),99.92% (00.17%),99.76% (00.46%),99.30% (01.15%),98.15% (02.57%),95.58% (05.09%),90.49% (08.89%),81.60% (13.47%),68.12% (17.38%)
14,,99.99% (00.02%),99.97% (00.07%),99.90% (00.21%),99.69% (00.55%),99.15% (01.30%),97.84% (02.78%),95.06% (05.27%),89.79% (08.82%),80.97% (12.86%),68.11% (16.17%),,100.00% (00.01%),99.99% (00.03%),99.96% (00.09%),99.87% (00.25%),99.62% (00.65%),98.96% (01.52%),97.44% (03.19%),94.25% (05.96%),88.29% (09.81%),78.48% (14.09%)
15,,100.00% (00.01%),99.98% (00.04%),99.94% (00.12%),99.83% (00.32%),99.50% (00.79%),98.71% (01.76%),96.95% (03.51%),93.44% (06.24%),87.21% (09.82%),77.39% (13.54%),,100.00% (00.00%),99.99% (00.02%),99.98% (00.05%),99.93% (00.14%),99.79% (00.37%),99.42% (00.89%),98.53% (01.95%),96.58% (03.85%),92.72% (06.80%),85.92% (10.64%)
